"","GEOID","Tract","INDI_1_21n1_fam","INDI_1_21n1_sing_women","INDI_1_31n4","INDI_1_31n3","INDI_1_31n7","INDI_1_31n8","INDI_4_22n1","INDI_4_31n1","INDI_4_31n2","INDI_4_31n3","INDI_4_31n4","INDI_4_31n5","INDI_4_31n6","INDI_8_52n1","INDI_8_61n1","INDI_8_61n2_1","INDI_8_61n2_2","Disc_labor","Disc_sc_enroll","STEM_major","INDI_9_22n1","INDI_9_c1n1","inad_plum","inad_rooms","INDI_11_31n2","use_pub_trans","Earn_lessthan_35K_30p_house_cost","percent_of_renters"
"1","","","Current poverty levels as defined by USA, by sections of the population. {family}(des)","Current poverty levels as defined by USA, by sections of the population. {single women}(des)","Percent of people covered by at least one social protection benefit, by sections of the population (FOOD STAMPS) (des)","Percentage of population receiving TANF, by sections of the population","Percent of people with disabilities receiving disability cash benefit (Unemploy)","Unemploy below poverty level, receiving cash benefits","Percentage of 3, and 4 year children attending preschool programs, by section of population.Census 3 to 4 year olds enrolled in school (asc)","Percentage of adults with did not complete high school or high school equivalency, by section of population. {%s high school completeion}.Adults with less than high school (25 yeards old or higher)(desc)","Percentage of adults that complete high school or high school equivalency, by section of population.","Percentage of adults who have attending college, by section of population","Percentage of adults who have earned a 1 year or 2 year professional certificate or an Associates Degree, by section of population.","Unemployment rate, by section of population.","Employment rate of youth ages 15 - 21, by section of the population.Unemployment 16 to 19 years (asc)","Percentage of adults who have earned a Graduate degree or higher, by section of population","High school completion rate, by section of the population. Over 25 years that completed high school (asc)","High school completion rate, by section of the population. Population between 18 and 24 that completed highschool(asc)","Disconected participation labor force of the young","Disconected school enroll of the young","Percent of adults that studied in a STEM field","Ratio of manufacturing jobs to all jobs, by section of population (des)","Availability of high speed data services. (percentage of homes)(asc)","Inadequate Plumbing","Inadequate N of rooms","Ratio of available housing stock to population growth. (affordability). 35% or more of household income (des)","Use public transportation to go to work when they have a vehicle available","Earn less than 35k and spend more than 30% in housing cost","Percent of families that live in a rented place",""
"326","42003521302","Census Tract 5213.02, Allegheny County, Pennsylvania","9.1","7.4","8.1","101","0.0208224882873503","0.0084070796460177","100","93.7","0.312160228898426","0.214306151645207","0.0683834048640916","0.208869814020029","0.133047210300429","6.6","57.9","93.7","0","70.0826086956522","0.596618357487923","0.337816455696203","8.9","82.3","0.0484396832789939","0","25.83","0.0739673390970221","21.5","0.605961807172799"
"327","42003521401","Census Tract 5214.01, Allegheny County, Pennsylvania","3.6","0","1.3","26","0","0","23.9","94.3","0.264816556914393","0.185324553151458","0.133584195672625","0.226246472248354","0.133113828786453","3.6","62","94.3","8.5","93.1285714285714","0.365079365079365","0.221271393643032","9.7","88.4","0","0","23.1","0.0214438884917798","15.8","0.291149068322981"
"328","42003521402","Census Tract 5214.02, Allegheny County, Pennsylvania","2.5","17.3","1.7","31","0.0241785492870428","0.014104153750775","43.7","96.9","0.160623517451711","0.129786513046425","0.0623517451711284","0.344628939342596","0.271772280582853","5","62","96.9","11.7","58.168","0.850909090909091","0.33161423414131","8","90.2","0","0","31.03","0.025364274150027","8.9","0.0599868160843771"
"329","42003521500","Census Tract 5215, Allegheny County, Pennsylvania","2.8","0","4","32","0.0127991096271564","0","42.1","95.1","0.215655454259667","0.195535994970135","0.140836215026721","0.242062244577177","0.156554542596668","4.6","60","95.1","8.9","71.302688172043","0.792114695340502","0.432510885341074","6.9","80.7","0","0","61.54","0.0458572173006774","15.2","0.185660781166399"
"330","42003522000","Census Tract 5220, Allegheny County, Pennsylvania","18.8","23.9","38.3","154","0.0709969788519638","0.0122356495468278","58.8","88.8","0.400431965442765","0.216414686825054","0.113606911447084","0.101079913606911","0.0565874730021598","9.6","54.6","88.8","18.5","70.4892307692308","0.38974358974359","0.20997375328084","8","65.8","0.0126835781041389","0.0287049399198932","41.1","0.125512715340443","27.7","0.548731642189586"
"331","42003523100","Census Tract 5231, Allegheny County, Pennsylvania","12.9","20","21.3","132","0.0267090620031796","0.00868044515103339","50","92.1","0.343877930777819","0.186825455898772","0.123930033494604","0.133978414588761","0.132117603275028","11.3","53.5","92.1","0","65.1745454545455","0.715702479338843","0.272959183673469","8.2","81.4","0","0","30.32","0.149601471489884","22.2","0.197643979057592"
"332","42003523200","Census Tract 5232, Allegheny County, Pennsylvania","13.5","26.8","24.2","157","0.0307414104882459","0.0116335141651597","61.6","95.7","0.318297562750091","0.189887231720626","0.108403055656602","0.206256820662059","0.13386686067661","12.4","62.4","95.7","10.8","67.6684908789386","0.447761194029851","0.256120527306968","9","77.4","0","0.00983227299016773","50.95","0.110537190082645","28.7","0.323886639676113"
"333","42003523300","Census Tract 5233, Allegheny County, Pennsylvania","4.4","17","10.6","47","0.00596733668341709","0","9.6","95.8","0.278556412053259","0.245269796776454","0.125087596355992","0.164681149264191","0.144709180098108","6.3","59","95.8","7.9","46.5051282051282","0.587179487179487","0.235109717868339","4","76.6","0","0.00354400472533963","40.22","0.067621776504298","21","0.288245717660957"
"334","42003523400","Census Tract 5234, Allegheny County, Pennsylvania","13.4","30.5","14.5","172","0.01230012300123","0.0034440344403444","69","95.1","0.169918009612666","0.262086513994911","0.124681933842239","0.229007633587786","0.164828951088493","4.5","65.9","95.1","6.3","41.1243944636678","0.811418685121107","0.247133757961783","9.1","79.9","0","0","41.3","0.106910569105691","18","0.279606669516888"
"335","42003523501","Census Tract 5235.01, Allegheny County, Pennsylvania","4","21.1","13.7","56","0.00654746915134727","0.00944346512213548","5.9","96","0.334472934472934","0.269230769230769","0.121937321937322","0.12962962962963","0.104558404558405","6","59.2","96","23.1","66.5718562874251","0.676646706586826","0.246135552913199","6.3","72.5","0","0.0140771637122002","36.87","0.0496674057649667","21.1","0.240354535974974"
"336","42003523502","Census Tract 5235.02, Allegheny County, Pennsylvania","4.5","13.3","22.6","15","0.0385245901639344","0.0650819672131148","0","90.5","0.402684563758389","0.196548418024928","0.120805369127517","0.12464046021093","0.0604026845637584","12.3","57.4","90.5","7.5","85.9855670103093","0.38659793814433","0.447236180904523","6.6","64.1","0","0.00754147812971342","45.3","0.095952023988006","30.8","0.291101055806938"
"337","42003523600","Census Tract 5236, Allegheny County, Pennsylvania","7.6","18.2","10.1","101","0.0286060606060606","0.00695757575757576","47.2","94.2","0.301474460242233","0.236440231700895","0.0742496050552923","0.231964191679831","0.09768299104792","3.1","60.5","94.2","0","33.6220183486239","0.795107033639144","0.328450269853508","10.1","87.1","0.00950475237618809","0","30.65","0.0646680942184154","15.6","0.229614807403702"
"338","42003523701","Census Tract 5237.01, Allegheny County, Pennsylvania","9.5","32.8","14.5","111","0.0141454965357968","0.0092378752886836","70.6","91.9","0.352020860495437","0.211864406779661","0.13102998696219","0.138526727509778","0.0850717079530639","6.4","57.2","91.9","21.5","66.438374717833","0.641083521444695","0.307797537619699","7.2","76.2","0.00499445061043285","0","29.85","0.031813361611877","17.6","0.208102108768036"
"339","42003523702","Census Tract 5237.02, Allegheny County, Pennsylvania","7.7","23.2","22.4","130","0.0253598355037697","0.00813342472012794","90.9","94.4","0.300301948943179","0.21712874004941","0.12736755421356","0.19105133132034","0.107878122426572","6.7","63.4","94.4","10.6","81.1927792915531","0.501362397820163","0.269731136166522","12.4","76.8","0","0","49.88","0.0526955816781516","24.5","0.338381825428458"
"340","42003523800","Census Tract 5238, Allegheny County, Pennsylvania","2.5","13","5.5","25","0.00619578686493185","0","50","96.3","0.328318108543794","0.137560451370231","0.0752283718430951","0.251746372917786","0.170069854916711","4.2","57.9","96.3","24.5","52.0731629392971","0.706070287539936","0.242320819112628","7.9","77.4","0","0","37.25","0.0824468085106383","14.3","0.148131267092069"
"341","42003524000","Census Tract 5240, Allegheny County, Pennsylvania","20.4","46.1","21.3","138","0.0405222872579919","0.0171994597028366","32.5","91.7","0.36275565123789","0.215285252960172","0.154467168998924","0.1254036598493","0.0592034445640474","8.8","56.1","91.7","14.1","60.6060526315789","0.460526315789474","0.210526315789474","12.7","67.9","0.00161030595813205","0.0144927536231884","49.53","0.0782608695652174","32.2","0.533011272141707"
